road_direction,camera_id
AYE,"[1703, 1704, 1706, 1707, 4713, 6716]"
AYE/City,"[3795, 3796]"
Airport,"[3702, 3705, 6711]"
BKE,"[2702, 7798, 8701, 8702, 8704, 8706, 9701, 9702, 9704, 9705, 9706]"
BKE/PIE,[9703]
BKE/Woodlands,[9703]
CCK,"[8701, 8704]"
CTE,"[1705, 4704, 7797, 7798]"
Causeway,[2702]
Changi,"[3704, 3793, 3796, 3797, 3798, 4702, 5794, 5795, 5797, 5798, 5799, 6701, 6703, 6704, 6705, 6706, 6708, 6710, 6712, 6713, 6714, 6715, 6716]"
City,"[1701, 1702, 1709, 1711, 3702, 3704, 3705, 3793, 3797, 3798, 4701, 4705, 4707, 4708, 4709, 4710, 4712, 4716, 6711]"
ECP,[7791]
ECP (Changi),[1001]
ECP (City),[1001]
Jalan Bukit Merah,[1707]
Johor,"[2701, 4703, 4707, 4712, 4713]"
Jurong,"[4701, 4702, 4705, 4706, 4709, 4710, 4714, 4716, 5794, 5795, 5797, 5798, 5799, 6701, 6703, 6704, 6705, 6706, 6710, 6711, 6712, 6713]"
KJE,"[2708, 6714]"
KPE,"[7794, 7795]"
KPE (ECP),"[1002, 1003, 1004, 1005, 1006]"
KPE (TPE),"[1001, 1003, 1005, 1006]"
KPE/SLE,[7793]
LOYANG AVE,[1111]
LOYANG AVE TOWARDS CHANGI VILLAGE,[1112]
LOYANG AVE TOWARDS TAMPINES AVE 7 / TPE,[1112]
MCE,[4704]
MCE (AYE),"[1502, 1503, 1504]"
MCE (ECP),"[1501, 1503, 1505]"
Marine Parade,[3795]
Moulmein,[1701]
PIE,"[2705, 2706, 2707, 2708, 7791, 7793, 7794, 7795, 7796, 7797, 8701, 8702, 8704, 8706]"
PIE (Changi),"[1002, 1003, 1003, 1703]"
PIE (Tuas),"[1002, 1004, 1703]"
PIE Changi,[2703]
PIE Jurong,[2703]
Pasir Ris Dr 12,[7793]
Punggol/Sengkang,[7796]
SLE,"[1111, 1701, 1702, 1703, 1704, 1705, 1706, 1707, 1709, 1711, 7791, 7794, 7795, 7796, 7797]"
Sentosa,[4799]
TANAH MERAH COAST ROAD TOWARDS AVIATION PARK ROAD,[1113]
TANAH MERAH COAST ROAD TOWARDS ECP,[1113]
TANAH MERAH FERRY TERMINAL,[1113]
TPE,"[7798, 9701, 9702, 9703, 9704, 9705, 9706]"
Telok Blangah,"[4798, 4799]"
Thomson,[6703]
Toa Payoh,[6701]
Tuas,"[4703, 6708, 6715]"
W'lands Ave 2,[9705]
Woodlands,"[2701, 2703, 2704, 2705, 2706, 2707, 2708]"
Xilin Ave Changi Coast Rd,[3705]
Yio Chu Kang Rd,[1706]
